,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
320,maroantsetra,10,MG,1581116320,90,-15.43,49.73,63.61,3.69
321,soyo,100,AO,1581116320,83,-6.13,12.37,76.35,1.03
322,ust-tsilma,100,RU,1581116320,98,65.44,52.15,-1.48,3.49
323,ziyang,61,CN,1581116321,91,29.25,117.85,41.47,1.23
324,sitka,20,US,1581116321,80,57.05,-135.33,35.6,4.7
325,krasnogorskoye,100,RU,1581116321,92,52.3,86.2,27.75,4.59
326,ankpa,0,NG,1581116321,20,7.37,7.63,76.62,2.35
327,danielskuil,66,ZA,1581116322,63,-28.19,23.54,66.96,11.5
328,ewa beach,75,US,1581116322,88,21.32,-158.01,77.0,9.17
329,smirnykh,0,RU,1581116322,79,49.75,142.83,-4.41,7.7
330,bolshoye murashkino,100,RU,1581116323,95,55.78,44.78,2.3,9.01
331,kayerkan,75,RU,1581116323,83,69.35,87.76,-7.6,22.37
332,brikama,0,GM,1581116323,34,13.27,-16.65,78.8,8.05
333,aanekoski,90,FI,1581116323,100,62.6,25.73,30.99,3.36
334,tilichiki,79,RU,1581116323,94,60.47,166.1,-24.2,10.25
335,usinsk,99,RU,1581116324,99,65.99,57.53,-9.83,10.13
336,puro,74,PH,1581116324,82,12.48,123.38,79.09,11.27
337,viedma,1,AR,1581116324,81,-40.81,-63.0,60.55,9.08
338,micomeseng,100,GQ,1581116324,97,2.15,10.62,69.82,1.07
339,amboasary,3,MG,1581116325,78,-25.03,46.38,78.8,21.92
340,gornopravdinsk,100,RU,1581116325,95,60.05,69.9,3.51,4.16
341,mehamn,75,NO,1581116325,69,71.04,27.85,39.2,12.75
342,yumen,0,CN,1581116326,57,40.28,97.2,19.63,11.41
343,ipilan,100,PH,1581116326,88,8.84,117.9,76.91,3.56
344,antofagasta,20,CL,1581116326,68,-23.65,-70.4,69.8,12.75
345,bereda,20,ES,1581116326,76,43.27,-7.54,57.99,10.29
346,kaihua,94,CN,1581116327,96,23.37,104.28,54.3,5.59
347,upington,44,ZA,1581116327,26,-28.45,21.26,84.2,10.29
348,bucerias,75,MX,1581116041,64,20.75,-105.33,75.2,10.29
349,cosautlan,66,MX,1581116327,91,19.33,-96.98,55.38,3.09
350,williams lake,90,CA,1581116327,100,52.14,-122.14,26.6,11.41
351,lalmohan,86,BD,1581116328,39,22.34,90.74,66.92,7.18
